max_depth, Accuracy, criterion
None, 0.8337999999999999, gini
1, 0.683, gini
2, 0.7728, gini
3, 0.8446, gini
4, 0.8552, gini
5, 0.8638, gini
6, 0.882, gini
7, 0.8981999999999999, gini
8, 0.8962, gini
9, 0.8854, gini
10, 0.8772, gini
11, 0.8694000000000001, gini
12, 0.8652, gini
13, 0.86, gini
14, 0.8512000000000001, gini
15, 0.8502000000000001, gini
16, 0.8425999999999998, gini
17, 0.8408000000000001, gini
18, 0.8394, gini
19, 0.8326, gini
20, 0.8328, gini
21, 0.8363999999999999, gini
22, 0.8343999999999999, gini
23, 0.8342, gini
24, 0.8347999999999999, gini
25, 0.8342, gini
26, 0.8342, gini
27, 0.834, gini
28, 0.8337999999999999, gini
29, 0.8337999999999999, gini
30, 0.8337999999999999, gini
31, 0.8337999999999999, gini
32, 0.8337999999999999, gini
33, 0.8337999999999999, gini
34, 0.8337999999999999, gini
35, 0.8337999999999999, gini
36, 0.8337999999999999, gini
37, 0.8337999999999999, gini
38, 0.8337999999999999, gini
39, 0.8337999999999999, gini
40, 0.8337999999999999, gini
41, 0.8337999999999999, gini
42, 0.8337999999999999, gini
43, 0.8337999999999999, gini
44, 0.8337999999999999, gini
45, 0.8337999999999999, gini
46, 0.8337999999999999, gini
47, 0.8337999999999999, gini
48, 0.8337999999999999, gini
49, 0.8337999999999999, gini
50, 0.8337999999999999, gini
51, 0.8337999999999999, gini
52, 0.8337999999999999, gini
53, 0.8337999999999999, gini
54, 0.8337999999999999, gini
55, 0.8337999999999999, gini
56, 0.8337999999999999, gini
57, 0.8337999999999999, gini
58, 0.8337999999999999, gini
59, 0.8337999999999999, gini
60, 0.8337999999999999, gini
61, 0.8337999999999999, gini
62, 0.8337999999999999, gini
63, 0.8337999999999999, gini
64, 0.8337999999999999, gini
65, 0.8337999999999999, gini
66, 0.8337999999999999, gini
67, 0.8337999999999999, gini
68, 0.8337999999999999, gini
69, 0.8337999999999999, gini
70, 0.8337999999999999, gini
71, 0.8337999999999999, gini
72, 0.8337999999999999, gini
73, 0.8337999999999999, gini
74, 0.8337999999999999, gini
75, 0.8337999999999999, gini
76, 0.8337999999999999, gini
77, 0.8337999999999999, gini
78, 0.8337999999999999, gini
79, 0.8337999999999999, gini
80, 0.8337999999999999, gini
81, 0.8337999999999999, gini
82, 0.8337999999999999, gini
83, 0.8337999999999999, gini
84, 0.8337999999999999, gini
85, 0.8337999999999999, gini
86, 0.8337999999999999, gini
87, 0.8337999999999999, gini
88, 0.8337999999999999, gini
89, 0.8337999999999999, gini
90, 0.8337999999999999, gini
91, 0.8337999999999999, gini
92, 0.8337999999999999, gini
93, 0.8337999999999999, gini
94, 0.8337999999999999, gini
95, 0.8337999999999999, gini
96, 0.8337999999999999, gini
97, 0.8337999999999999, gini
98, 0.8337999999999999, gini
99, 0.8337999999999999, gini
None, 0.8417999999999999, entropy
1, 0.683, entropy
2, 0.766, entropy
3, 0.8427999999999999, entropy
4, 0.8558, entropy
5, 0.8606, entropy
6, 0.8836, entropy
7, 0.897, entropy
8, 0.9004, entropy
9, 0.8904, entropy
10, 0.8869999999999999, entropy
11, 0.8782, entropy
12, 0.8752000000000001, entropy
13, 0.8678000000000001, entropy
14, 0.8627999999999998, entropy
15, 0.8593999999999999, entropy
16, 0.8555999999999999, entropy
17, 0.8506, entropy
18, 0.8506, entropy
19, 0.8464, entropy
20, 0.8469999999999999, entropy
21, 0.8476000000000001, entropy
22, 0.8413999999999999, entropy
23, 0.841, entropy
24, 0.8406, entropy
25, 0.8446, entropy
26, 0.8423999999999999, entropy
27, 0.8412, entropy
28, 0.8416, entropy
29, 0.8421999999999998, entropy
30, 0.8423999999999999, entropy
31, 0.8408, entropy
32, 0.842, entropy
33, 0.8417999999999999, entropy
34, 0.8417999999999999, entropy
35, 0.8417999999999999, entropy
36, 0.8417999999999999, entropy
37, 0.8417999999999999, entropy
38, 0.8417999999999999, entropy
39, 0.8417999999999999, entropy
40, 0.8417999999999999, entropy
41, 0.8417999999999999, entropy
42, 0.8417999999999999, entropy
43, 0.8417999999999999, entropy
44, 0.8417999999999999, entropy
45, 0.8417999999999999, entropy
46, 0.8417999999999999, entropy
47, 0.8417999999999999, entropy
48, 0.8417999999999999, entropy
49, 0.8417999999999999, entropy
50, 0.8417999999999999, entropy
51, 0.8417999999999999, entropy
52, 0.8417999999999999, entropy
53, 0.8417999999999999, entropy
54, 0.8417999999999999, entropy
55, 0.8417999999999999, entropy
56, 0.8417999999999999, entropy
57, 0.8417999999999999, entropy
58, 0.8417999999999999, entropy
59, 0.8417999999999999, entropy
60, 0.8417999999999999, entropy
61, 0.8417999999999999, entropy
62, 0.8417999999999999, entropy
63, 0.8417999999999999, entropy
64, 0.8417999999999999, entropy
65, 0.8417999999999999, entropy
66, 0.8417999999999999, entropy
67, 0.8417999999999999, entropy
68, 0.8417999999999999, entropy
69, 0.8417999999999999, entropy
70, 0.8417999999999999, entropy
71, 0.8417999999999999, entropy
72, 0.8417999999999999, entropy
73, 0.8417999999999999, entropy
74, 0.8417999999999999, entropy
75, 0.8417999999999999, entropy
76, 0.8417999999999999, entropy
77, 0.8417999999999999, entropy
78, 0.8417999999999999, entropy
79, 0.8417999999999999, entropy
80, 0.8417999999999999, entropy
81, 0.8417999999999999, entropy
82, 0.8417999999999999, entropy
83, 0.8417999999999999, entropy
84, 0.8417999999999999, entropy
85, 0.8417999999999999, entropy
86, 0.8417999999999999, entropy
87, 0.8417999999999999, entropy
88, 0.8417999999999999, entropy
89, 0.8417999999999999, entropy
90, 0.8417999999999999, entropy
91, 0.8417999999999999, entropy
92, 0.8417999999999999, entropy
93, 0.8417999999999999, entropy
94, 0.8417999999999999, entropy
95, 0.8417999999999999, entropy
96, 0.8417999999999999, entropy
97, 0.8417999999999999, entropy
98, 0.8417999999999999, entropy
99, 0.8417999999999999, entropy

Best value of max_depth: 8
Best accuracy score: 0.9004
Best criterion: entropy
