k, Accuracy, metric
1, 0.7698, euclidean
1, 0.7698, euclidean
2, 0.7864, euclidean
2, 0.7698, euclidean
3, 0.8086, euclidean
3, 0.8084, euclidean
4, 0.8208, euclidean
4, 0.8139999999999998, euclidean
5, 0.8221999999999999, euclidean
5, 0.8220000000000001, euclidean
6, 0.8367999999999999, euclidean
6, 0.8305999999999999, euclidean
7, 0.8321999999999999, euclidean
7, 0.8333999999999999, euclidean
8, 0.8366, euclidean
8, 0.8357999999999999, euclidean
9, 0.8321999999999999, euclidean
9, 0.8343999999999999, euclidean
10, 0.8442000000000001, euclidean
10, 0.8421999999999998, euclidean
11, 0.8375999999999999, euclidean
11, 0.8402, euclidean
12, 0.8448, euclidean
12, 0.8426, euclidean
13, 0.8398, euclidean
13, 0.8408, euclidean
14, 0.8480000000000001, euclidean
14, 0.8455999999999999, euclidean
15, 0.8446, euclidean
15, 0.8458, euclidean
16, 0.8513999999999999, euclidean
16, 0.8474, euclidean
17, 0.8492000000000001, euclidean
17, 0.8508000000000001, euclidean
18, 0.8535999999999999, euclidean
18, 0.8523999999999999, euclidean
19, 0.8517999999999999, euclidean
19, 0.8521999999999998, euclidean
20, 0.8543999999999998, euclidean
20, 0.8532, euclidean
25, 0.8558, euclidean
25, 0.8572, euclidean
30, 0.8556000000000001, euclidean
30, 0.8548, euclidean
35, 0.8549999999999999, euclidean
35, 0.8582000000000001, euclidean
40, 0.8576, euclidean
40, 0.8550000000000001, euclidean
45, 0.8540000000000001, euclidean
45, 0.8573999999999999, euclidean
50, 0.8593999999999999, euclidean
50, 0.8597999999999999, euclidean
55, 0.86, euclidean
55, 0.8611999999999999, euclidean
60, 0.8592000000000001, euclidean
60, 0.8632, euclidean
65, 0.8569999999999999, euclidean
65, 0.8632, euclidean
70, 0.86, euclidean
70, 0.865, euclidean
75, 0.8601999999999999, euclidean
75, 0.8636000000000001, euclidean
80, 0.8615999999999999, euclidean
80, 0.8635999999999999, euclidean
85, 0.8583999999999999, euclidean
85, 0.8629999999999999, euclidean
90, 0.858, euclidean
90, 0.8624, euclidean
95, 0.8588000000000001, euclidean
95, 0.8634000000000001, euclidean
100, 0.8587999999999999, euclidean
100, 0.8608, euclidean
1, 0.7724, manhattan
1, 0.7724, manhattan
2, 0.7906000000000001, manhattan
2, 0.7724, manhattan
3, 0.8182, manhattan
3, 0.8177999999999999, manhattan
4, 0.8315999999999999, manhattan
4, 0.8186, manhattan
5, 0.8356, manhattan
5, 0.8371999999999999, manhattan
6, 0.8457999999999999, manhattan
6, 0.8371999999999999, manhattan
7, 0.8437999999999999, manhattan
7, 0.8437999999999999, manhattan
8, 0.8533999999999999, manhattan
8, 0.8468, manhattan
9, 0.8443999999999999, manhattan
9, 0.8464, manhattan
10, 0.8543999999999998, manhattan
10, 0.8484, manhattan
11, 0.845, manhattan
11, 0.8496, manhattan
12, 0.8552, manhattan
12, 0.8513999999999999, manhattan
13, 0.8512000000000001, manhattan
13, 0.8534, manhattan
14, 0.858, manhattan
14, 0.8560000000000001, manhattan
15, 0.8516, manhattan
15, 0.8554, manhattan
16, 0.86, manhattan
16, 0.8563999999999998, manhattan
17, 0.8533999999999999, manhattan
17, 0.8568, manhattan
18, 0.86, manhattan
18, 0.8569999999999999, manhattan
19, 0.8568, manhattan
19, 0.8615999999999999, manhattan
20, 0.8652, manhattan
20, 0.8632, manhattan
25, 0.8624, manhattan
25, 0.8634000000000001, manhattan
30, 0.8640000000000001, manhattan
30, 0.8634000000000001, manhattan
35, 0.86, manhattan
35, 0.8666, manhattan
40, 0.8664, manhattan
40, 0.8655999999999999, manhattan
45, 0.8674000000000002, manhattan
45, 0.8715999999999999, manhattan
50, 0.8682000000000001, manhattan
50, 0.8704000000000001, manhattan
55, 0.8648, manhattan
55, 0.8687999999999999, manhattan
60, 0.8686, manhattan
60, 0.8702, manhattan
65, 0.8657999999999999, manhattan
65, 0.8676, manhattan
70, 0.8682000000000001, manhattan
70, 0.8684, manhattan
75, 0.8681999999999999, manhattan
75, 0.8698, manhattan
80, 0.8682000000000001, manhattan
80, 0.869, manhattan
85, 0.8652, manhattan
85, 0.8687999999999999, manhattan
90, 0.8674, manhattan
90, 0.8684, manhattan
95, 0.8677999999999999, manhattan
95, 0.8709999999999999, manhattan
100, 0.8686, manhattan
100, 0.8699999999999999, manhattan

Best value of k: 45
Best accuracy score: 0.8715999999999999
Best metric: manhattan
