max_depth, n_estimators, accuracy
None, 10, 0.8934000000000001
None, 20, 0.9057999999999999
None, 30, 0.908
None, 40, 0.9094000000000001
None, 50, 0.9109999999999999
None, 60, 0.9102
None, 70, 0.9112
None, 80, 0.9110000000000001
None, 90, 0.9110000000000001
None, 100, 0.9116000000000002
None, 200, 0.9122
None, 300, 0.9114000000000001
1, 10, 0.6532000000000001
1, 20, 0.6652
1, 30, 0.6716
1, 40, 0.6936
1, 50, 0.7268000000000001
1, 60, 0.7121999999999999
1, 70, 0.7028000000000001
1, 80, 0.6988
1, 90, 0.7038
1, 100, 0.7045999999999999
1, 200, 0.702
1, 300, 0.7043999999999999
2, 10, 0.7769999999999999
2, 20, 0.8066000000000001
2, 30, 0.8299999999999998
2, 40, 0.7807999999999999
2, 50, 0.8150000000000001
2, 60, 0.7994
2, 70, 0.8008000000000001
2, 80, 0.8299999999999998
2, 90, 0.8171999999999999
2, 100, 0.8246
2, 200, 0.8555999999999999
2, 300, 0.8472
3, 10, 0.8513999999999999
3, 20, 0.853
3, 30, 0.8533999999999999
3, 40, 0.8548
3, 50, 0.8560000000000001
3, 60, 0.8565999999999999
3, 70, 0.8597999999999999
3, 80, 0.8595999999999998
3, 90, 0.8601999999999999
3, 100, 0.861
3, 200, 0.8565999999999999
3, 300, 0.8736
4, 10, 0.8596
4, 20, 0.8778
4, 30, 0.8712
4, 40, 0.8787999999999998
4, 50, 0.8800000000000001
4, 60, 0.8732000000000001
4, 70, 0.8732000000000001
4, 80, 0.8714000000000001
4, 90, 0.8708
4, 100, 0.8714000000000001
4, 200, 0.8708
4, 300, 0.8735999999999999
5, 10, 0.8751999999999999
5, 20, 0.8862
5, 30, 0.8848
5, 40, 0.8884000000000001
5, 50, 0.8854000000000001
5, 60, 0.8912000000000001
5, 70, 0.8922000000000001
5, 80, 0.8924
5, 90, 0.8896000000000001
5, 100, 0.889
5, 200, 0.8896000000000001
5, 300, 0.8912000000000001
6, 10, 0.8880000000000001
6, 20, 0.8926000000000001
6, 30, 0.8936
6, 40, 0.8932
6, 50, 0.8921999999999999
6, 60, 0.8916000000000001
6, 70, 0.8934000000000001
6, 80, 0.8954000000000001
6, 90, 0.8944000000000001
6, 100, 0.8946
6, 200, 0.8981999999999999
6, 300, 0.8976000000000001
7, 10, 0.8936
7, 20, 0.8974
7, 30, 0.901
7, 40, 0.9022
7, 50, 0.9036
7, 60, 0.9028
7, 70, 0.9030000000000001
7, 80, 0.9038000000000002
7, 90, 0.9046000000000001
7, 100, 0.9046
7, 200, 0.9049999999999999
7, 300, 0.9063999999999999
8, 10, 0.9007999999999999
8, 20, 0.9029999999999999
8, 30, 0.9064
8, 40, 0.9072000000000001
8, 50, 0.9070000000000003
8, 60, 0.9070000000000003
8, 70, 0.9086000000000001
8, 80, 0.9086000000000001
8, 90, 0.9084000000000001
8, 100, 0.9096
8, 200, 0.9096
8, 300, 0.9096
9, 10, 0.9017999999999999
9, 20, 0.9077999999999999
9, 30, 0.9087999999999999
9, 40, 0.9096000000000002
9, 50, 0.9097999999999999
9, 60, 0.9086000000000001
9, 70, 0.9092000000000002
9, 80, 0.9096
9, 90, 0.9092
9, 100, 0.9100000000000001
9, 200, 0.9116
9, 300, 0.9103999999999999
10, 10, 0.9026000000000002
10, 20, 0.9043999999999999
10, 30, 0.9068000000000002
10, 40, 0.907
10, 50, 0.9082000000000001
10, 60, 0.9084000000000001
10, 70, 0.9086000000000002
10, 80, 0.9088
10, 90, 0.9086000000000002
10, 100, 0.9094000000000001
10, 200, 0.9102
10, 300, 0.9104000000000001
11, 10, 0.9024000000000001
11, 20, 0.9096
11, 30, 0.9088
11, 40, 0.9102
11, 50, 0.9100000000000001
11, 60, 0.9100000000000001
11, 70, 0.9106000000000002
11, 80, 0.9108
11, 90, 0.9110000000000001
11, 100, 0.9116
11, 200, 0.9116000000000002
11, 300, 0.9104000000000001
12, 10, 0.9029999999999999
12, 20, 0.9090000000000001
12, 30, 0.9088
12, 40, 0.9112000000000002
12, 50, 0.9108
12, 60, 0.9106
12, 70, 0.9099999999999999
12, 80, 0.9099999999999999
12, 90, 0.9106
12, 100, 0.9103999999999999
12, 200, 0.9107999999999998
12, 300, 0.9124000000000001
13, 10, 0.8984
13, 20, 0.905
13, 30, 0.9080000000000001
13, 40, 0.9092
13, 50, 0.9102
13, 60, 0.9092
13, 70, 0.9096
13, 80, 0.9098
13, 90, 0.9119999999999999
13, 100, 0.9116
13, 200, 0.9114000000000001
13, 300, 0.9124000000000001
14, 10, 0.9018
14, 20, 0.9076000000000001
14, 30, 0.909
14, 40, 0.9092
14, 50, 0.9099999999999999
14, 60, 0.9102
14, 70, 0.9103999999999999
14, 80, 0.9109999999999999
14, 90, 0.9109999999999999
14, 100, 0.9120000000000001
14, 200, 0.9124000000000001
14, 300, 0.9120000000000001
15, 10, 0.8977999999999999
15, 20, 0.9042
15, 30, 0.908
15, 40, 0.9076000000000001
15, 50, 0.9086000000000001
15, 60, 0.9086000000000001
15, 70, 0.9088
15, 80, 0.9092
15, 90, 0.9106
15, 100, 0.9106
15, 200, 0.9113999999999999
15, 300, 0.9120000000000001
16, 10, 0.8986000000000001
16, 20, 0.9064
16, 30, 0.9094
16, 40, 0.9096
16, 50, 0.9114000000000001
16, 60, 0.9114000000000001
16, 70, 0.9108
16, 80, 0.9118
16, 90, 0.9106
16, 100, 0.9106
16, 200, 0.9116000000000002
16, 300, 0.9120000000000001
17, 10, 0.8950000000000001
17, 20, 0.9058000000000002
17, 30, 0.9096
17, 40, 0.9092000000000002
17, 50, 0.9102
17, 60, 0.9092
17, 70, 0.9098
17, 80, 0.9104000000000001
17, 90, 0.9098
17, 100, 0.9094000000000001
17, 200, 0.9109999999999999
17, 300, 0.9112000000000002
18, 10, 0.8946000000000002
18, 20, 0.9036000000000002
18, 30, 0.9081999999999999
18, 40, 0.9106
18, 50, 0.9098
18, 60, 0.9106
18, 70, 0.9094
18, 80, 0.9086000000000001
18, 90, 0.9092
18, 100, 0.9100000000000001
18, 200, 0.9124000000000001
18, 300, 0.9116000000000002
19, 10, 0.8954000000000001
19, 20, 0.9042
19, 30, 0.9084
19, 40, 0.9082000000000001
19, 50, 0.909
19, 60, 0.9096
19, 70, 0.9098
19, 80, 0.9106000000000002
19, 90, 0.9106000000000002
19, 100, 0.9108
19, 200, 0.9122
19, 300, 0.9120000000000001

Best value of max_depth: 12
Best value of n_estimators: 300
Best accuracy score: 0.9124000000000001
