C, Accuracy, kernel
0.01, 0.8784000000000001, linear
0.01, 0.6072, rbf
0.01, 0.8784000000000001, linear
0.01, 0.5978, rbf
0.1, 0.8808, linear
0.1, 0.8852, rbf
0.1, 0.8808, linear
0.1, 0.8904, rbf
1.0, 0.8874000000000001, linear
1.0, 0.8932, rbf
1.0, 0.8874000000000001, linear
1.0, 0.8814, rbf
10.0, 0.8886000000000001, linear
10.0, 0.8904, rbf
10.0, 0.8886000000000001, linear
10.0, 0.8947999999999998, rbf
20.0, 0.8888000000000001, linear
20.0, 0.8802, rbf
20.0, 0.8888000000000001, linear
20.0, 0.8956, rbf

Best value of C: 20
Best accuracy score: 0.8956
Best kernel: rbf
