max_depth, n_estimators, learning_rate, accuracy
1, 100, 0.05, 0.8474
1, 200, 0.05, 0.8768
1, 300, 0.05, 0.8837999999999999
1, 400, 0.05, 0.8905999999999998
1, 500, 0.05, 0.9011999999999999
1, 600, 0.05, 0.9026
2, 100, 0.05, 0.881
2, 200, 0.05, 0.9
2, 300, 0.05, 0.9048
2, 400, 0.05, 0.9034000000000001
2, 500, 0.05, 0.9008
2, 600, 0.05, 0.899
3, 100, 0.05, 0.9034000000000001
3, 200, 0.05, 0.9057999999999999
3, 300, 0.05, 0.9054
3, 400, 0.05, 0.9022
3, 500, 0.05, 0.9012
3, 600, 0.05, 0.9000000000000001
4, 100, 0.05, 0.9065999999999999
4, 200, 0.05, 0.9062000000000001
4, 300, 0.05, 0.9048
4, 400, 0.05, 0.9023999999999999
4, 500, 0.05, 0.8991999999999999
4, 600, 0.05, 0.8992000000000001
5, 100, 0.05, 0.9072000000000001
5, 200, 0.05, 0.9076000000000001
5, 300, 0.05, 0.9054
5, 400, 0.05, 0.9032
5, 500, 0.05, 0.9016
5, 600, 0.05, 0.8996000000000001
6, 100, 0.05, 0.9092
6, 200, 0.05, 0.9094
6, 300, 0.05, 0.9066000000000001
6, 400, 0.05, 0.9024000000000001
6, 500, 0.05, 0.9008
6, 600, 0.05, 0.8981999999999999
7, 100, 0.05, 0.9106
7, 200, 0.05, 0.9094
7, 300, 0.05, 0.9067999999999999
7, 400, 0.05, 0.9022
7, 500, 0.05, 0.9015999999999998
7, 600, 0.05, 0.9002000000000001
8, 100, 0.05, 0.9102
8, 200, 0.05, 0.9064
8, 300, 0.05, 0.9032
8, 400, 0.05, 0.901
8, 500, 0.05, 0.8994
8, 600, 0.05, 0.8985999999999998
9, 100, 0.05, 0.9106
9, 200, 0.05, 0.9056
9, 300, 0.05, 0.9044000000000001
9, 400, 0.05, 0.9033999999999999
9, 500, 0.05, 0.9012
9, 600, 0.05, 0.901

Best value of max_depth: 7
Best value of n_estimators: 100
Best value of learning_rate: 0.05
Best accuracy score: 0.9106
