Feature,Importance,Percent_Importance (%)
smoking,0.2596167957365518,25.96
energy_level,0.15483008424219505,15.48
throat_discomfort,0.1274423822254128,12.74
breathing_issue,0.12550478969785944,12.55
stress_immune,0.08594431927296341,8.59
oxygen_saturation,0.059961224061548746,6.0
exposure_to_pollution,0.0467320759859399,4.67
age,0.04230300372941767,4.23
family_history,0.030442329740324972,3.04
smoking_family_history,0.029579016166461122,2.96
gender,0.006749276611020806,0.67
long_term_illness,0.006058383079840062,0.61
alcohol_consumption,0.00549190687813592,0.55
finger_discoloration,0.005402889749948156,0.54
chest_tightness,0.005280409978259008,0.53
mental_stress,0.004559891945833437,0.46
immune_weakness,0.004101220898287599,0.41
