Feature,Importance,Percent_Importance (%)
smoking,0.13042551974104905,38.61
throat_discomfort,0.05946174343099292,17.6
breathing_issue,0.0588673520187763,17.43
energy_level,0.03179707801510334,9.41
stress_immune,0.021266253042200645,6.3
exposure_to_pollution,0.011750434409977029,3.48
smoking_family_history,0.00903808358220437,2.68
family_history,0.00645783807398792,1.91
oxygen_saturation,0.0019866367348058134,0.59
age,0.0017252699392114046,0.51
immune_weakness,0.0016691426499887418,0.49
chest_tightness,0.0008832816708833624,0.26
mental_stress,0.0006694136383197935,0.2
alcohol_consumption,0.0005943710368341293,0.18
long_term_illness,0.0005878498093179196,0.17
finger_discoloration,0.0004048304706055217,0.12
gender,0.0002025552254432128,0.06
