Feature,Importance,Percent_Importance (%)
smoking,0.24287518831864513,24.29
energy_level,0.14042833711288144,14.04
breathing_issue,0.11471869358423908,11.47
throat_discomfort,0.11284143825205305,11.28
oxygen_saturation,0.07990638130563843,7.99
age,0.068204578519,6.82
smoking_family_history,0.053119114676162094,5.31
stress_immune,0.03543228035500332,3.54
exposure_to_pollution,0.03093754128123283,3.09
family_history,0.022469349138756513,2.25
immune_weakness,0.018625399373318075,1.86
mental_stress,0.015487635335656579,1.55
alcohol_consumption,0.013278193083142764,1.33
long_term_illness,0.013059169888769005,1.31
gender,0.012974776256205727,1.3
chest_tightness,0.012995004252171467,1.3
finger_discoloration,0.012646919267124454,1.26
