iter	Passed	Remaining
0	158	15645
1	163	8004
2	170	5510
3	175	4213
4	182	3467
5	188	2959
6	193	2574
7	196	2265
8	201	2034
9	204	1843
10	209	1691
11	212	1555
12	215	1445
13	220	1351
14	223	1267
15	226	1190
16	230	1124
17	234	1066
18	237	1010
19	239	959
20	242	913
21	247	877
22	250	839
23	253	803
24	256	770
25	261	743
26	266	719
27	269	691
28	271	665
29	276	644
30	279	622
31	282	600
32	285	580
33	289	562
34	293	545
35	296	527
36	299	510
37	302	493
38	307	481
39	311	467
40	314	452
41	319	441
42	325	431
43	329	419
44	332	406
45	337	395
46	341	384
47	344	373
48	347	361
49	350	350
50	354	340
51	357	330
52	360	319
53	363	309
54	368	301
55	372	292
56	375	283
57	378	274
58	384	267
59	388	259
60	392	250
61	397	243
62	401	235
63	405	228
64	410	220
65	414	213
66	418	206
67	422	198
68	426	191
69	430	184
70	433	177
71	438	170
72	443	164
73	447	157
74	451	150
75	457	144
76	460	137
77	464	131
78	468	124
79	472	118
80	479	112
81	484	106
82	489	100
83	494	94
84	502	88
85	507	82
86	510	76
87	516	70
88	521	64
89	524	58
90	529	52
91	532	46
92	536	40
93	539	34
94	542	28
95	547	22
96	550	17
97	554	11
98	559	5
99	562	0
